id,shares,Usage
369,1500,Private
370,511,Private
371,1800,Public
372,3500,Public
373,4500,Public
374,2300,Private
375,949,Private
376,16800,Private
377,478,Private
378,1500,Private
379,2200,Public
380,1100,Private
381,4100,Public
382,857,Public
383,849,Public
384,1100,Private
385,340,Private
386,907,Public
387,1900,Private
388,2100,Public
389,1100,Public
390,3100,Public
391,1800,Public
392,3100,Private
393,1600,Public
394,2500,Public
395,1000,Public
396,1400,Private
397,657,Public
398,1100,Private
399,16500,Public
400,807,Private
401,1300,Private
402,1200,Private
403,1900,Private
404,1800,Public
405,4200,Public
406,1000,Private
407,2400,Private
408,12900,Private
409,2300,Public
410,1400,Private
411,2000,Private
412,3100,Public
413,1100,Public
414,1100,Public
415,1300,Private
416,1600,Public
417,2000,Public
418,1900,Private
419,1500,Public
420,550,Public
421,1900,Public
422,2500,Public
423,1700,Public
424,1800,Public
425,992,Private
426,710,Private
427,2500,Private
428,2300,Private
429,1300,Private
430,3300,Private
431,691,Private
432,1200,Public
433,1100,Private
434,1900,Private
435,742,Public
436,5800,Private
437,594,Public
438,6500,Public
439,1100,Private
440,3900,Public
441,1300,Public
442,1400,Public
443,1300,Private
444,2600,Private
445,1400,Private
446,8700,Public
447,6000,Private
448,2400,Public
449,401,Private
450,2800,Private
451,2300,Public
452,2500,Public
453,2100,Public
454,1100,Public
455,1500,Private
456,1800,Public
457,2500,Public
458,1700,Public
459,889,Public
460,831,Public
461,3900,Public
462,1500,Public
463,1500,Public
464,1200,Private
465,1200,Public
466,18100,Private
467,2100,Public
468,956,Private
469,2400,Public
470,1300,Public
471,1900,Private
472,1100,Public
473,1000,Private
474,1600,Private
475,4400,Public
476,1000,Private
477,766,Private
478,992,Private
479,3900,Private
480,1900,Private
481,7700,Public
482,1300,Private
483,4500,Public
484,1600,Public
485,1800,Public
486,1100,Private
487,710,Private
488,18400,Private
489,1600,Public
490,1500,Private
491,635,Public
492,983,Private
493,366,Public
494,2500,Public
495,632,Private
496,886,Public
497,790,Private
498,3300,Public
499,1200,Public
500,41600,Public
501,2200,Private
502,3900,Public
503,1100,Private
504,1100,Private
505,4900,Public
506,1800,Public
507,2000,Public
508,4500,Private
509,4000,Public
510,1500,Private
511,1300,Private
512,589,Public
513,773,Private
514,399,Public
515,3500,Private
516,1900,Public
517,1600,Public
518,4500,Private
519,1400,Private
520,2100,Private
521,1200,Public
522,785,Public
523,1200,Public
524,1300,Public
525,898,Public
526,12300,Private
527,2600,Private
528,2900,Public
529,5500,Public
530,6100,Private
531,851,Private
532,902,Private
533,825,Public
534,4200,Public
535,2000,Public
536,1800,Public
537,6400,Public
538,1300,Public
539,1200,Private
540,1100,Public
541,1200,Public
542,2800,Public
543,1100,Public
544,726,Private
545,1200,Private
546,992,Public
547,1400,Private
548,717,Private
549,983,Public
550,671,Private
551,3200,Public
552,1700,Private
553,515,Private
554,744,Private
555,412,Private
556,1200,Public
557,402,Private
558,1800,Public
559,1700,Public
560,8100,Public
561,869,Public
562,1700,Public
563,612,Private
564,2100,Public
565,67500,Private
566,8400,Public
567,914,Private
568,1200,Public
569,1700,Public
570,1600,Private
571,7200,Private
572,1600,Private
573,477,Public
574,2200,Private
575,2400,Private
576,729,Public
577,736,Private
578,2200,Public
579,889,Private
580,15400,Private
581,635,Public
582,2800,Private
583,989,Private
584,1600,Public
585,742,Private
586,678,Private
587,1000,Private
588,1900,Private
589,1100,Private
590,4500,Public
591,1500,Public
592,2500,Private
593,840,Public
594,639,Public
595,3400,Private
596,3200,Public
597,2200,Private
598,1400,Public
599,1400,Private
600,717,Public
601,2800,Private
602,674,Private
603,774,Public
604,608,Private
605,16800,Public
606,694,Private
607,1100,Public
608,725,Public
609,1500,Public
610,14500,Public
611,4100,Public
612,1100,Public
613,19200,Public
614,386,Public
615,4900,Private
616,472,Public
617,1200,Public
618,5500,Private
619,638,Public
620,2000,Private
621,594,Public
622,11300,Private
623,623,Public
624,2300,Private
625,11100,Private
626,1600,Public
627,4300,Private
628,2000,Private
629,13200,Private
630,1300,Private
631,6000,Private
632,5000,Private
633,4600,Public
634,1000,Private
635,4800,Private
636,1500,Private
637,16800,Private
638,25300,Public
639,1600,Private
640,3000,Private
641,2100,Private
642,1400,Private
643,4900,Private
644,2200,Public
645,1200,Private
646,32700,Public
647,7500,Public
648,1600,Public
649,968,Public
650,2000,Private
651,5700,Private
652,5800,Public
653,1900,Private
654,12300,Public
655,856,Private
656,1200,Private
657,989,Public
658,3700,Private
659,775,Private
660,3900,Public
661,2300,Public
662,2500,Public
663,6100,Public
664,685,Private
665,1300,Public
666,5200,Public
667,473,Public
668,5100,Public
669,1100,Public
670,705,Public
671,670,Public
672,2300,Public
673,858,Public
674,2500,Private
675,2200,Public
676,557,Public
677,2700,Private
678,1600,Private
679,1400,Private
680,5100,Public
681,2400,Private
682,6600,Public
683,639,Public
684,939,Public
685,591,Public
686,3600,Private
687,12300,Private
688,3100,Public
689,1600,Private
690,2400,Private
691,3600,Private
692,506,Public
693,2300,Private
694,1000,Public
695,3000,Private
696,1700,Private
697,1100,Public
698,2200,Private
699,1200,Public
700,493,Private
701,1300,Public
702,2100,Public
703,527,Private
704,851,Private
705,678,Public
706,1700,Private
707,1300,Private
708,939,Public
709,558,Public
710,1100,Private
711,3100,Private
712,783,Private
713,1200,Private
714,482,Private
715,1000,Public
716,2300,Private
717,16700,Public
718,3400,Public
719,602,Private
720,1200,Private
721,1200,Public
722,2700,Public
723,750,Public
724,2900,Public
725,716,Private
726,4700,Private
727,2100,Public
728,2600,Private
729,3800,Public
730,3100,Private
731,7700,Public
732,916,Public
733,28200,Private
734,680,Private
735,2600,Public
736,3200,Private
737,21700,Private
738,4200,Public
739,1000,Private
740,3000,Private
741,888,Public
742,1100,Public
743,2400,Private
744,979,Public
745,3300,Public
746,2000,Public
747,1300,Public
748,651,Private
749,9300,Private
750,2400,Public
751,2100,Private
752,1500,Private
753,1300,Private
754,1500,Public
755,816,Private
756,410,Private
757,2100,Private
758,1200,Public
759,842,Private
760,492,Private
761,2500,Public
762,2900,Public
763,1500,Public
764,1400,Private
765,2600,Public
766,1400,Public
767,416,Private
768,593,Public
769,753,Private
770,2500,Public
771,754,Public
772,3300,Public
773,2800,Private
774,1700,Private
775,920,Private
776,1400,Public
777,4100,Private
778,27900,Private
779,2100,Private
780,1100,Private
781,31300,Public
782,5500,Public
783,13600,Public
784,5000,Public
785,1400,Public
786,3500,Private
787,1700,Private
788,4300,Public
789,1300,Private
790,1100,Private
791,2300,Public
792,9600,Private
793,2300,Private
794,849,Public
795,1300,Private
796,1100,Private
797,912,Public
798,28400,Public
799,2400,Public
800,4000,Private
801,1700,Private
802,1700,Public
803,2100,Public
804,3100,Private
805,947,Private
806,2400,Private
807,227300,Private
808,1300,Public
809,2400,Public
810,630,Public
811,1400,Private
812,675,Private
813,488,Private
814,915,Private
815,2300,Private
816,4700,Private
817,3400,Public
818,2600,Public
819,21100,Private
820,855,Public
821,7600,Private
822,838,Private
823,3800,Private
824,1100,Public
825,1200,Private
826,1500,Private
827,2200,Public
828,3600,Public
829,1700,Private
830,2600,Private
831,4300,Public
832,26400,Public
833,4700,Public
834,1400,Public
835,2500,Public
836,1800,Public
837,1600,Private
838,1200,Private
839,10000,Private
840,672,Public
841,770,Public
842,1300,Public
843,2800,Public
844,531,Private
845,620,Public
846,1800,Private
847,3600,Private
848,808,Private
849,3500,Public
850,1900,Private
851,857,Private
852,1000,Public
853,2100,Public
854,1400,Private
855,1500,Public
856,3100,Private
857,482,Public
858,1200,Private
859,2500,Public
860,720,Private
861,2800,Private
862,2100,Private
863,2100,Public
864,880,Private
865,1100,Private
866,3800,Public
867,6000,Private
868,1300,Public
869,1200,Private
870,6900,Public
871,2900,Private
872,806,Public
873,2600,Private
874,6400,Public
875,2700,Public
876,2900,Public
877,731,Private
878,35800,Private
879,956,Private
880,8600,Private
881,9400,Private
882,21900,Private
883,6400,Public
884,9400,Public
885,7400,Private
886,1600,Public
887,1900,Public
888,1200,Public
889,1500,Private
890,3200,Private
891,2400,Public
892,1000,Public
893,1300,Public
894,1200,Public
895,5300,Public
896,949,Private
897,2400,Private
898,1300,Public
899,2200,Private
900,4400,Private
901,1400,Public
902,1000,Public
903,3400,Private
904,3700,Public
905,3500,Public
906,1600,Public
907,1300,Private
908,780,Private
909,2300,Private
910,2500,Public
911,3300,Private
912,1100,Public
913,5600,Private
914,2300,Private
915,1400,Private
916,4300,Private
917,1500,Public
918,4000,Public
919,2300,Private
920,2700,Private
921,15700,Private
922,894,Public
923,1600,Private
924,2100,Public
925,3900,Private
926,709,Public
927,2900,Public
928,1900,Private
929,1600,Private
930,2500,Public
931,1000,Public
932,1300,Public
933,1100,Private
934,2200,Private
935,2000,Public
936,1000,Private
937,897,Private
938,906,Public
939,4900,Private
940,800,Public
941,2900,Public
942,1300,Private
943,2100,Private
944,6100,Private
945,951,Public
946,62300,Private
947,4100,Public
948,4900,Public
949,1900,Public
950,5100,Private
951,1200,Private
952,12400,Public
953,3500,Public
954,3200,Private
955,944,Private
956,2100,Private
957,6300,Public
958,2000,Private
959,1200,Private
960,1900,Private
961,6000,Private
962,3200,Private
963,3100,Public
964,1600,Private
965,1700,Public
966,1300,Private
967,5400,Private
968,765,Private
969,821,Private
970,1000,Public
971,1500,Private
972,833,Private
973,2100,Public
974,2100,Private
975,53700,Private
976,804,Private
977,895,Public
978,5200,Private
979,1300,Public
980,20700,Private
981,1600,Private
982,976,Public
983,951,Public
984,4100,Private
985,2000,Private
986,2800,Private
987,830,Private
988,7100,Public
989,1700,Private
990,1800,Private
991,2800,Public
992,862,Private
993,2800,Private
994,1800,Public
995,802,Public
996,17100,Public
997,3700,Private
998,1000,Public
999,36700,Public
1000,7600,Private
1001,1600,Private
1002,5000,Private
1003,1100,Public
1004,14500,Private
1005,2000,Public
1006,2500,Public
1007,3200,Public
1008,1200,Public
1009,10600,Private
1010,833,Public
1011,2200,Private
1012,2000,Public
1013,3800,Public
1014,1300,Public
1015,1800,Public
1016,3300,Private
1017,5000,Private
1018,3500,Public
1019,1200,Public
1020,943,Private
1021,1300,Public
1022,7700,Private
1023,5300,Public
1024,1100,Private
1025,1800,Private
1026,1000,Public
1027,1100,Private
1028,922,Public
1029,784,Public
1030,3700,Private
1031,650,Public
1032,896,Public
1033,4200,Public
1034,7900,Private
1035,695,Public
1036,1500,Private
1037,983,Public
1038,6400,Private
1039,2200,Private
1040,2100,Public
1041,2200,Private
1042,2000,Public
1043,6500,Private
1044,1300,Private
1045,1400,Public
1046,1600,Private
1047,1000,Private
1048,1400,Public
1049,4500,Public
1050,3500,Public
1051,1100,Public
1052,1700,Private
1053,1300,Public
1054,3000,Private
1055,2000,Public
1056,1000,Private
1057,2500,Private
1058,758,Private
1059,873,Private
1060,1100,Public
1061,2500,Public
1062,667,Public
1063,1800,Public
1064,1500,Public
1065,1300,Private
1066,1300,Private
1067,1600,Public
1068,2700,Public
1069,36200,Public
1070,887,Public
1071,7800,Private
1072,2200,Private
1073,1800,Public
1074,2200,Private
1075,2900,Private
1076,6200,Public
1077,1100,Private
1078,2300,Private
1079,2300,Private
1080,32200,Private
1081,1200,Private
1082,940,Private
1083,12100,Private
1084,2700,Public
1085,2100,Private
1086,884,Private
1087,1300,Public
1088,1500,Public
1089,1600,Public
1090,991,Private
1091,1900,Public
1092,1500,Private
1093,3700,Private
1094,22000,Public
1095,1800,Private
1096,3300,Private
1097,1400,Public
1098,1500,Private
1099,1300,Public
1100,2900,Private
1101,1700,Public
1102,5500,Public
1103,2800,Private
1104,1100,Public
1105,845,Public
1106,1100,Private
1107,3200,Private
1108,12400,Private
1109,1700,Private
1110,2000,Public
1111,1000,Private
1112,645,Public
1113,1100,Private
1114,1300,Public
1115,1800,Private
1116,7100,Public
1117,7000,Public
1118,1500,Private
1119,1100,Private
1120,1000,Public
1121,1800,Private
1122,716,Private
1123,2200,Private
1124,2900,Private
1125,2700,Private
1126,930,Public
1127,974,Public
1128,16900,Private
1129,1000,Public
1130,861,Private
1131,3800,Private
1132,1000,Public
1133,3200,Private
1134,812,Public
1135,3000,Public
1136,978,Public
1137,1100,Public
1138,2500,Public
1139,3300,Private
1140,16400,Private
1141,1400,Public
1142,1500,Public
1143,1600,Private
1144,6700,Public
1145,2300,Private
1146,8800,Private
1147,1300,Private
1148,3800,Private
1149,1500,Private
1150,2800,Public
1151,2800,Private
1152,819,Public
1153,2400,Private
1154,6000,Private
1155,9300,Private
1156,1100,Public
1157,2800,Public
1158,1400,Public
1159,1200,Private
1160,3800,Public
1161,1400,Public
1162,12600,Private
1163,1600,Private
1164,2200,Public
1165,1200,Private
1166,4600,Public
1167,1400,Public
1168,25300,Public
1169,10700,Private
1170,1700,Public
1171,1100,Public
1172,1500,Public
1173,1600,Private
1174,1100,Public
1175,1300,Public
1176,4800,Public
1177,2500,Private
1178,1500,Private
1179,1200,Private
1180,805,Public
1181,877,Private
1182,860,Public
1183,15200,Private
1184,1100,Private
1185,2800,Public
1186,2100,Public
1187,3100,Private
1188,6900,Public
1189,6500,Private
1190,1200,Private
1191,1300,Public
1192,1400,Private
1193,1800,Private
1194,1100,Private
1195,7400,Private
1196,1100,Private
1197,31400,Public
1198,1100,Private
1199,10600,Public
1200,913,Public
1201,768,Private
1202,970,Public
1203,11400,Public
1204,1500,Public
1205,827,Private
1206,781,Public
1207,2100,Private
1208,1100,Public
1209,1100,Private
1210,3100,Public
1211,2600,Public
1212,3200,Public
1213,1400,Public
1214,1600,Private
1215,8000,Public
1216,1200,Private
1217,1300,Private
1218,7800,Public
1219,1100,Private
1220,2300,Private
1221,1300,Public
1222,1500,Public
1223,1300,Public
1224,2600,Private
1225,946,Public
1226,1200,Public
1227,1400,Private
1228,2100,Public
1229,1600,Private
1230,1500,Public
1231,1300,Public
1232,1300,Private
1233,1200,Private
1234,1200,Private
1235,1300,Public
1236,3900,Private
1237,806,Private
1238,840,Private
1239,2100,Public
1240,2000,Public
1241,4200,Public
1242,1700,Public
1243,2600,Public
1244,2700,Private
1245,1800,Private
1246,5000,Private
1247,6100,Private
1248,1600,Private
1249,908,Public
1250,2400,Public
1251,1200,Public
1252,1800,Private
1253,1100,Public
1254,7300,Private
1255,8200,Public
1256,12800,Private
1257,4900,Private
1258,2100,Public
1259,1400,Public
1260,927,Public
1261,2400,Private
1262,1800,Public
1263,4400,Public
1264,3600,Public
1265,4300,Public
1266,3700,Public
1267,1600,Private
1268,1400,Public
1269,2800,Private
1270,2000,Private
1271,2300,Public
1272,2500,Public
1273,3200,Public
1274,1500,Public
1275,2200,Public
1276,3800,Private
1277,2700,Public
1278,2700,Private
1279,4000,Private
1280,3300,Public
1281,1600,Public
1282,9700,Public
1283,1400,Private
1284,6000,Public
1285,3400,Private
1286,6300,Private
1287,2100,Public
1288,1400,Private
1289,3700,Public
1290,1000,Private
1291,1000,Public
1292,3400,Public
1293,1400,Public
1294,1800,Public
1295,1400,Public
1296,3900,Private
1297,1400,Public
1298,2400,Public
1299,1400,Public
1300,1200,Private
1301,903,Private
1302,1100,Private
1303,4800,Private
1304,2100,Private
1305,2300,Private
1306,3300,Public
1307,1600,Public
1308,3800,Private
1309,3000,Public
1310,1900,Public
1311,935,Public
1312,1200,Public
1313,1000,Public
1314,967,Private
1315,944,Private
1316,5900,Public
1317,1500,Private
1318,1400,Public
1319,745,Public
1320,1200,Public
1321,1200,Private
1322,2200,Public
1323,1200,Public
1324,1400,Private
1325,1200,Private
1326,2200,Private
1327,946,Public
1328,1700,Public
1329,807,Public
1330,1700,Private
1331,3900,Public
1332,1400,Private
1333,882,Private
1334,1900,Public
1335,1200,Private
1336,1800,Public
1337,1200,Private
1338,2500,Public
1339,2000,Private
1340,1100,Private
1341,1400,Private
1342,1800,Private
1343,1300,Private
1344,8700,Public
1345,2600,Private
1346,3700,Public
1347,1600,Private
1348,2000,Public
1349,1100,Private
1350,802,Public
1351,1300,Private
1352,2900,Private
1353,1900,Public
1354,4500,Private
1355,3200,Private
1356,3500,Private
1357,1500,Private
1358,1600,Private
1359,18000,Public
1360,1900,Private
1361,2200,Private
1362,2600,Private
1363,1200,Private
1364,6200,Public
1365,1500,Public
1366,1800,Private
1367,1400,Private
1368,1100,Public
1369,620,Private
1370,3100,Public
1371,1300,Private
1372,1500,Private
1373,3700,Private
1374,4400,Private
1375,12000,Private
1376,1100,Private
1377,1500,Public
1378,872,Private
1379,2900,Public
1380,1500,Public
1381,1200,Public
1382,1500,Public
1383,1500,Private
1384,3200,Private
1385,18800,Private
1386,769,Private
1387,2600,Public
1388,2200,Private
1389,1600,Private
1390,1100,Private
1391,1400,Private
1392,905,Public
1393,1600,Private
1394,3300,Private
1395,1300,Private
1396,4500,Private
1397,542,Private
1398,828,Private
1399,867,Private
1400,2000,Public
1401,1400,Private
1402,730,Public
1403,1100,Public
1404,679,Private
1405,891,Public
1406,9400,Private
1407,663,Public
1408,8500,Private
1409,1200,Public
1410,1800,Public
1411,3200,Private
1412,2800,Private
1413,741,Public
1414,1100,Public
1415,6300,Private
1416,1400,Public
1417,16300,Public
1418,2100,Public
1419,7100,Private
1420,1300,Public
1421,784,Public
1422,112500,Private
1423,897,Public
1424,970,Public
1425,2200,Public
1426,2900,Private
1427,2800,Private
1428,3700,Public
1429,1400,Private
1430,1400,Private
1431,1100,Public
1432,1400,Public
1433,1600,Private
1434,1400,Private
1435,1400,Public
1436,1300,Private
1437,3100,Public
1438,1600,Public
1439,2200,Public
1440,1500,Public
1441,969,Private
1442,1400,Private
1443,2200,Public
1444,1800,Private
1445,1300,Private
1446,2000,Private
1447,15400,Private
1448,1700,Private
1449,1100,Public
1450,2200,Public
1451,6600,Private
1452,2800,Public
1453,3900,Private
1454,1900,Public
1455,2300,Private
1456,14000,Public
1457,17100,Private
1458,1400,Private
1459,17600,Public
1460,1100,Private
1461,13800,Public
1462,4400,Private
1463,1200,Public
1464,1800,Public
1465,2900,Private
1466,1900,Private
1467,1600,Public
1468,2500,Public
1469,1600,Public
1470,1700,Public
1471,1700,Public
1472,4100,Private
1473,937,Public
1474,1100,Private
1475,5000,Public
1476,1700,Public
1477,642,Public
1478,1400,Public
1479,1500,Private
1480,2400,Private
1481,5800,Public
1482,1200,Private
1483,3000,Private
1484,1400,Public
1485,2100,Public
1486,901,Private
1487,2600,Private
1488,1000,Public
1489,1300,Public
1490,6600,Public
1491,8400,Public
1492,3100,Private
1493,959,Public
1494,1100,Public
1495,1000,Private
1496,2300,Private
1497,2100,Private
1498,2200,Public
1499,753,Public
1500,3900,Public
1501,2200,Private
1502,1300,Private
1503,1100,Private
1504,2500,Private
1505,1900,Private
1506,5600,Public
1507,5500,Public
1508,1200,Public
1509,4500,Public
1510,2100,Private
1511,2200,Private
1512,597,Private
1513,2000,Public
1514,953,Private
1515,8400,Private
1516,1800,Public
1517,2300,Public
1518,1800,Public
1519,7000,Private
1520,1400,Public
1521,1300,Private
1522,2500,Public
1523,821,Public
1524,2600,Public
1525,810,Public
1526,676,Public
1527,1300,Public
1528,1100,Public
1529,1200,Public
1530,1400,Private
1531,1100,Private
1532,3700,Public
1533,993,Private
1534,3600,Public
1535,4200,Private
1536,913,Public
1537,3200,Private
1538,1100,Public
1539,2100,Private
1540,1200,Private
1541,2100,Public
1542,1800,Public
1543,1200,Public
1544,1800,Public
1545,12300,Public
1546,3200,Public
1547,2000,Public
1548,7600,Public
1549,2300,Private
1550,1500,Private
1551,2200,Private
1552,10700,Private
1553,15900,Private
1554,1300,Private
1555,2400,Public
1556,1300,Public
1557,2600,Public
1558,1900,Private
1559,1400,Private
1560,955,Private
1561,1500,Public
1562,2200,Public
1563,1200,Public
1564,12800,Public
1565,835,Public
1566,954,Public
1567,2200,Private
1568,2200,Public
1569,3100,Private
1570,1300,Private
1571,1500,Public
1572,2700,Public
1573,11700,Public
1574,907,Private
1575,3000,Private
1576,906,Public
1577,5200,Public
1578,1200,Private
1579,789,Public
1580,783,Public
1581,990,Private
1582,895,Private
1583,7100,Private
1584,1400,Public
1585,15000,Public
1586,1100,Public
1587,1200,Private
1588,1000,Private
1589,1300,Public
1590,913,Public
1591,7600,Private
1592,878,Public
1593,1000,Private
1594,916,Public
1595,1800,Private
1596,917,Private
1597,1200,Private
1598,2100,Private
1599,2800,Private
1600,2600,Public
1601,1600,Public
1602,3700,Public
1603,4600,Private
1604,1300,Public
1605,2200,Public
1606,1800,Public
1607,4100,Private
1608,1600,Public
1609,1500,Private
1610,2500,Public
1611,771,Public
1612,1000,Public
1613,1800,Public
1614,1400,Public
1615,1200,Private
1616,4100,Public
1617,2000,Private
1618,742,Private
1619,1800,Public
1620,2000,Public
1621,1200,Public
1622,1400,Private
1623,1800,Private
1624,1500,Private
1625,1300,Public
1626,1200,Private
1627,1700,Private
1628,2200,Private
1629,1300,Private
1630,11100,Private
1631,1800,Private
1632,3300,Private
1633,1400,Public
1634,19100,Private
1635,1900,Private
1636,3800,Public
1637,787,Private
1638,1500,Public
1639,1700,Private
1640,2100,Public
1641,2900,Public
1642,2200,Private
1643,3100,Public
1644,1400,Public
1645,1500,Private
1646,1800,Private
1647,3300,Public
1648,1500,Public
1649,2100,Public
1650,4000,Private
1651,1900,Private
1652,25700,Public
1653,2100,Private
1654,2100,Private
1655,1900,Public
1656,1700,Public
1657,1300,Public
1658,28200,Public
1659,1100,Private
1660,1100,Public
1661,1400,Private
1662,1100,Public
1663,809,Private
1664,1200,Private
1665,740,Public
1666,3400,Private
1667,4600,Public
1668,1300,Public
1669,1900,Private
1670,873,Public
1671,1700,Private
1672,8400,Private
1673,1200,Public
1674,523,Public
1675,1600,Private
1676,854,Public
1677,1800,Public
1678,2600,Public
1679,1300,Private
1680,977,Public
1681,1100,Public
1682,902,Public
1683,1400,Public
1684,2700,Public
1685,2200,Private
1686,838,Private
1687,26600,Private
1688,1300,Private
1689,1400,Public
1690,3700,Public
1691,2200,Private
1692,5000,Public
1693,2900,Private
1694,2600,Private
1695,4500,Private
1696,61500,Public
1697,1300,Public
1698,1700,Private
1699,936,Private
1700,1200,Private
1701,1900,Private
1702,1600,Public
1703,962,Public
1704,984,Private
